userId,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,89,84,29,42,81,43,0,67,45,1,13,22,16,26,40,51,22,7
5,7,6,6,9,13,12,0,24,7,0,1,5,1,8,1,8,2,1
7,45,38,11,11,32,18,0,37,14,2,4,8,10,16,29,32,8,0
17,39,35,10,7,19,32,1,51,17,2,3,3,10,7,20,27,9,6
18,191,134,31,32,126,134,9,211,48,8,11,12,56,39,102,161,14,11
19,87,100,33,55,197,47,0,74,58,8,43,22,39,75,60,100,7,7
21,192,159,46,49,147,56,0,64,49,2,6,10,14,49,90,104,7,4
27,38,51,17,36,36,6,0,39,16,1,0,12,3,22,25,12,12,10
31,15,14,4,6,19,2,1,13,7,0,2,5,1,13,8,11,1,0
32,29,17,2,6,41,19,1,44,11,0,2,2,7,29,9,31,3,1
33,14,10,6,8,51,24,0,102,5,2,2,6,8,48,7,25,8,1
40,21,21,7,17,36,13,0,47,12,0,2,6,3,20,8,15,3,6
43,31,34,13,32,44,16,0,42,17,0,5,12,4,25,15,29,3,3
44,17,16,3,2,18,4,0,9,2,0,2,1,1,6,6,13,0,0
45,99,96,31,48,194,47,1,114,39,0,15,27,18,65,68,81,14,3
46,18,13,4,4,12,12,0,15,3,0,2,3,3,6,7,18,3,3
50,32,33,26,12,64,30,11,82,25,2,10,7,16,18,23,35,9,4
54,6,6,3,4,11,7,0,15,3,0,1,2,3,6,4,13,3,1
57,128,105,31,36,172,54,1,150,42,11,10,27,30,82,68,87,33,15
63,87,71,31,24,87,48,7,76,32,5,6,10,21,25,43,56,13,1
64,116,96,32,47,197,89,6,227,66,3,51,27,51,97,54,132,27,8
66,96,66,16,18,141,56,0,147,38,4,23,6,25,59,43,79,14,10
71,20,15,1,5,7,3,0,5,4,0,0,1,2,6,9,13,1,0
73,60,53,17,17,97,25,0,63,21,0,4,4,11,30,30,29,5,2
78,28,18,1,2,21,9,0,8,2,0,2,0,2,6,13,18,3,0
86,30,27,12,11,14,9,0,27,17,0,2,2,6,16,17,17,5,1
89,39,60,76,81,325,27,4,74,39,0,33,12,11,58,22,16,9,4
90,3,4,1,2,22,5,4,32,2,0,1,3,1,18,4,6,1,0
91,172,114,35,29,123,84,7,154,59,1,84,16,42,42,103,175,15,15
93,46,56,4,17,36,8,0,26,19,0,3,1,2,23,22,22,4,4
96,33,22,2,4,17,14,0,27,5,1,3,2,7,8,12,24,5,1
98,22,27,17,17,31,6,0,31,13,0,11,7,5,13,20,14,3,0
